State,Year,Gender,Total
West Bengal,2003,Female,29280
West Bengal,2003,Male,37120
West Bengal,2004,Female,28730
West Bengal,2004,Male,38305
West Bengal,2005,Female,32005
West Bengal,2005,Male,43070
West Bengal,2006,Female,33025
West Bengal,2006,Male,45600
West Bengal,2007,Female,31775
West Bengal,2007,Male,42525
West Bengal,2008,Female,32415
West Bengal,2008,Male,41845
West Bengal,2009,Female,30770
West Bengal,2009,Male,42470
West Bengal,2010,Female,33680
West Bengal,2010,Male,46505
West Bengal,2011,Female,34340
West Bengal,2011,Male,48120
West Bengal,2012,Female,18831
West Bengal,2012,Male,26040
